Results for ABS mono 1

Barcode: V-2023-05-12 16:26:36, PlateRepeat: 1, WellRepeat: 1
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.16887773214286886,0.16237212301169837,0.15466094134921604,0.15125940392365175,0.15724942568613384,0.15249442216659559,0.15335996322076667,0.15864464663711975,0.16194505074900847,0.15950487772375035,0.16089409838492447,0.14810336203611654
B,0.14944360970542334,0.15142496044344034,0.14867721529040648,0.14326739915833972,0.15006997177297957,0.15962839195536738,0.1473650563812639,0.15513330338310694,0.15383744722110704,0.158553340476409,0.15717924040739661,0.14905593504592296
C,0.14996962392666455,0.15067885478732751,0.14421792402469871,0.14939189814417553,0.14304120239431209,0.14731468252012198,0.14573738129302782,0.15327190431876955,0.14912696792681904,0.1571090437843532,0.14915388686705067,0.14799272746886605
D,0.14166233843626688,0.15201841351347811,0.14163483900977644,0.14706069600448096,0.15380260603018037,0.15400939605707359,0.14218326550097421,0.14582709210532244,0.15131023586786746,0.15272339859537865,0.14815596339659168,0.15406491801070873
E,0.14921957970408911,0.16670656858090047,0.14263058239590587,0.14112511193733937,0.14327480673892026,0.15439605034541215,0.15171076318138349,0.15023074386746027,0.15776744366926315,0.16130245758784262,0.15751164594605327,0.15401048550311447
F,0.15347302052868356,0.1715526297192945,0.14252771755457641,0.14709176521886486,0.14608893871029943,0.15597676039454114,0.15422501679371531,0.14868151660202164,0.15451703595157448,0.17093528299556615,0.15218207640997602,0.14867291393619014
G,0.14263908191640903,0.16677047052697916,0.17957482440945263,0.15332624760936239,0.1472428730727926,0.15560728692527076,0.14670940762738915,0.15779599233924574,0.16137551445653397,0.1658689086555459,0.15643086588215174,0.1624797959581501
H,0.14592647774412304,0.15131999228945131,0.13777200350680577,0.14966125191082713,0.14769112818327765,0.14833646755193408,0.1450222894312512,0.14921311735029971,0.15576027173637436,0.16502053075881809,0.16001125997991431,0.15116097549004054

Barcode: V-2023-05-12 16:26:36, PlateRepeat: 2, WellRepeat: 1
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.17437643582788334,0.16783802567248265,0.15931417735171105,0.15500343148078588,0.16188849447094011,0.15738543820173992,0.15794097477351943,0.16361473836723256,0.16806622799145063,0.16426300161279417,0.16656201392912964,0.15239138893703122
B,0.15481578222476253,0.1569577597936444,0.15219184973274888,0.14598848049322402,0.15381132567282876,0.16501720260493891,0.15090579103222798,0.15861054831368629,0.15904647455663073,0.1638952955864327,0.16243873165528488,0.15223630098919266
C,0.15465437815393931,0.15504053135064025,0.14719569440519328,0.15262355275655176,0.14525164418404091,0.15047471941539106,0.14868261949557374,0.15967581638876072,0.15355129610645699,0.16166019756060107,0.15429256005015593,0.15414769753943794
D,0.14626749427800514,0.15754784779282038,0.14422642967878416,0.15017352051361918,0.15555811342001885,0.15843563105410746,0.14392212822656214,0.14990169821944638,0.15475252564765413,0.15790361799065994,0.15245211115937249,0.15918415038405223
E,0.15377648238615882,0.17543996317893551,0.14580466613949586,0.14392316893672066,0.14588799903342098,0.15926240803305861,0.1548201319086919,0.15350999686303049,0.16143420813959733,0.16768068650516113,0.16339218063067948,0.16050825179500983
F,0.15819702335342833,0.1783940335269624,0.14598633496122121,0.15023506645217272,0.14959874414117538,0.16194947224091819,0.15783990970581588,0.15325342459569702,0.15923592903155609,0.1772106775615355,0.1572559858259148,0.1550328870077877
G,0.14629636539023777,0.17482393303983049,0.1460558004235962,0.15688103380316723,0.14966125191082713,0.16086092690295492,0.14993513087197924,0.16233885048360663,0.16620020479842551,0.171250069154641,0.16229335490366958,0.16980819998688435
H,0.14962031474028983,0.15594505500476771,0.14022563099749208,0.153857028269396,0.15030521085952034,0.15271363722734912,0.1477405004873249,0.1541988822478487,0.16032926568203409,0.16958357412368019,0.16453505903066798,0.15683940058306531

Barcode: V-2023-05-12 16:26:36, PlateRepeat: 3, WellRepeat: 1
