

Results for ABS mono 1

Barcode: V-2023-04-20 16:01:54, PlateRepeat: 1, WellRepeat: 1
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.16047637462183623,0.15309838949492752,0.14986452336685488,0.15588080562965045,0.15397021049755669,0.14767852629312017,0.1546469808425795,0.14180537462146298,0.15249675443643837,0.14841762397038386,0.1351020832393495,0.15374054618313041
B,0.15063929435488907,0.1553226619973643,0.14506369937013922,0.16205482592965065,0.15963272955257435,0.15051682080990489,0.1604687538062877,0.17296811409667262,0.14453189136080416,0.15694084300387115,0.1398724445361994,0.15253097176815814
C,0.13532725811353,0.14504894498346835,0.16006362054719755,0.15206156931271467,0.15725544515880063,0.15516763958680832,0.15661669971876327,0.15440083962176104,0.15302126975833386,0.14932575415694538,0.14123481695922491,0.14347234523611893
D,0.142013139565389,0.14919196715645244,0.14509209459313049,0.15213743724399639,0.15082575676847138,0.14774941637972369,0.15262406278997728,0.146341202377967,0.14907095796308514,0.14795792974072705,0.14115455136155217,0.16570852127846622
E,0.13888535328000187,0.14130153158993178,0.14731685837863814,0.15277926727884264,0.15324625803479536,0.15225930883537761,0.14561192532522707,0.13777743203609469,0.13217967817802442,0.14560666789571355,0.13246766486472514,0.1628001992084078
F,0.13885425544778082,0.14210504122801132,0.15032410945166344,0.15187246187909961,0.14495013698943846,0.15128315790913366,0.15148483171310981,0.15511272933597789,0.14788383259043764,0.15415916924681131,0.11218051322259769,0.12502432012931464
G,0.13565438407442729,0.14923125575858384,0.15877228497823798,0.14885129247254092,0.14967104544681861,0.15508367770120565,0.16144941579272581,0.13802360483464549,0.14426936397498261,0.14718366837389746,0.1129006333782606,0.131428962054479
H,0.13985687492211826,0.14971993646359139,0.14558245327902233,0.14831273581508841,0.15831886054209615,0.14911763955552365,0.15033901531921254,0.14284097117639669,0.14982518201490871,0.15159158592444594,0.11161737762432128,0.12547445269297525

Barcode: V-2023-04-20 16:01:54, PlateRepeat: 2, WellRepeat: 1
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.16684592760518685,0.15381888255484738,0.15082041574876262,0.15615794644535119,0.15509983383771181,0.14835828488833847,0.15657569096732132,0.14244985366057122,0.15127676273315863,0.15098244622323645,0.1353118279944682,0.15453089182189436
